week	type	title	by	date	tracks	len_raw	len_fmt
6	OST	Cytus II-Xenon Original Soundtrack			11	39min14s	39:14
6	OST	Cytus II-Cherry Original Soundtrack			21	57min58s	57:58
6	OST	Cytus II-Conner Original Soundtrack			11	23min46s	23:46
6	OST	Cytus II-Joe Original Soundtrack			10	24min49s	24:49
6	OST	Cytus II-Sagar Original Soundtrack			10	32min37s	32:37
6	OST	Cytus II-Rin Original Soundtrack			10	21min58s	21:58
6	OST	Cytus II-Ilka Original Soundtrack			15	37min6s	37:06
6	Album	BOUQUET -Grand Finale-	発熱巫女～ず	2013-08-12	9	38min34s	38:34
6	Album	After the End	a_hisa		7	?	?
6	Album	百鬼夜行	FragileOnline	2004-12-30	34	2h2min53s	2:02:53
6	Album	東方オトハナビ	东方Arrange活跃化大作战、COOL&CREATE	2021-08-14	40	2h56min7s	2:56:07
6	Album	Metamorphose	Cawaii Complex	2018-08-10	8	36min36s	36:36
7	Album	ULTIMATE HAPPY CARNIVAL	DJ Genki		18	56min51s	56:51
7	Compilation	HARDCORE UTOPIA			12	41min	41:00
7	Compilation	HARDCORE UTOPIA 2			20	86min	1:26:00
7	Compilation	HARDCORE UTOPIA 3			21	92min25s	1:32:25
7	Compilation	HARDCORE UTOPIA 4			26	120min36s	2:00:36
8	Anime	わたしが恋人になれるわけないじゃん、ムリムリ！（※ムリじゃなかった!?）〜ネクストシャイン！〜				?	?
8	Anime	私の推しは悪役令嬢。				?	?
8	Anime	タコピーの原罪				?	?
8	Album	VSQ Performs Lady Gaga	Vitamin String Quartet		11	37min	37:00
8	Album	Selentia	Sakuzyo		17	49min12s	49:12
8	Album	L'aventale	Sakuzyo		15	43min34s	43:34
8	Album	fairythm	Sakuzyo		12	41min	41:00
9	Anime	魔法少女にあこがれて				?	?
9	Album	相愛性理論	DECO*27		18	66min	1:06:00
9	Album	The Romantic	Bruno Mars		9	31min30s	31:30
9	EP	FREE YOUR MIND	flumpool		4	18min20s	18:20
14	Anime	リコリス・リコイル				?	?
